,x1,y1,x2,y2
wall 1,93,46,94,122
wall 2,94,122,114,121
wall 3,114,121,113,308
wall 4,113,308,732,481
wall 5,732,481,737,486
wall 6,737,486,628,486
wall 7,628,486,628,462
wall 8,628,462,500,461
wall 9,500,461,501,572
wall 10,501,572,626,573
wall 11,626,573,625,547
wall 12,625,547,886,547
wall 13,886,547,888,124
wall 14,888,124,906,123
wall 15,906,123,906,45
wall 16,906,45,886,45
wall 17,886,45,886,27
wall 18,886,27,825,27
wall 19,825,27,825,45
wall 20,825,45,781,45
wall 21,781,45,781,27
wall 22,781,27,721,27
wall 23,721,27,720,46
wall 24,720,46,281,46
wall 25,281,46,279,28
wall 26,279,28,221,28
wall 27,221,28,220,48
wall 28,220,48,175,46
wall 29,175,46,174,26
wall 30,174,26,113,27
wall 31,113,27,113,46
wall 32,113,46,95,47
wall 33,172,120,110,120
wall 34,174,121,175,179
wall 35,175,179,219,181
wall 36,219,181,219,124
wall 37,219,124,175,121
wall 38,720,180,718,239
wall 39,281,124,281,180
wall 40,281,180,720,180
wall 41,720,180,719,121
wall 42,719,121,281,124
wall 43,825,181,886,180
wall 44,174,242,174,261
wall 45,174,261,220,273
wall 46,220,273,220,241
wall 47,220,241,174,240
wall 48,500,546,628,548
wall 49,279,241,281,291
wall 50,281,291,773,434
wall 51,773,434,824,489
wall 52,824,489,825,242
wall 53,825,242,281,243
wall 54,281,243,281,289
wall 55,501,491,627,488
wall 56,782,124,826,122
wall 57,826,122,827,178
wall 58,827,178,781,176
wall 59,781,176,782,122
wall 60,281,46,222,117
